State,District,Crop,Year,Season,Area,Area Units,Production,Production Units,Yield,Avg_Temp,Total_Precipitation,Crop_Category,Nitrogen,Potassium,Phosphorous
Odisha,GANJAM,Arhar/Tur,2001-02,Kharif,11620.0,Hectare,8600.0,Tonnes,0.7401032702237521,28.065882352941177,1518.27,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,GANJAM,Arhar/Tur,2002-03,Kharif,9150.0,Hectare,5780.0,Tonnes,0.6316939890710382,28.38686274509804,1066.4199999999998,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,GANJAM,Arhar/Tur,2003-04,Kharif,11260.0,Hectare,6820.0,Tonnes,0.605683836589698,28.50702614379085,1574.7199999999998,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,JAGATSINGHAPUR,Arhar/Tur,2001-02,Kharif,140.0,Hectare,140.0,Tonnes,1.0,27.78055555555555,1679.59,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,JAGATSINGHAPUR,Arhar/Tur,2002-03,Kharif,50.0,Hectare,40.0,Tonnes,0.8,28.148366013071893,1147.07,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,JAGATSINGHAPUR,Arhar/Tur,2002-03,Rabi,50.0,Hectare,40.0,Tonnes,0.8,25.416491712707185,105.78,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,JAGATSINGHAPUR,Arhar/Tur,2003-04,Kharif,130.0,Hectare,100.0,Tonnes,0.7692307692307693,28.53676470588235,1596.22,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,JAJAPUR,Arhar/Tur,2001-02,Kharif,2860.0,Hectare,950.0,Tonnes,0.3321678321678322,27.40179738562092,1566.42,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,JAJAPUR,Arhar/Tur,2001-02,Rabi,170.0,Hectare,80.0,Tonnes,0.4705882352941176,25.212071823204425,127.69,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,JAJAPUR,Arhar/Tur,2002-03,Kharif,1500.0,Hectare,520.0,Tonnes,0.3466666666666667,27.877156862745096,1087.81,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,JAJAPUR,Arhar/Tur,2003-04,Kharif,2630.0,Hectare,980.0,Tonnes,0.3726235741444867,28.255882352941185,1516.57,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,JHARSUGUDA,Arhar/Tur,2001-02,Kharif,560.0,Hectare,350.0,Tonnes,0.625,27.07196078431372,1278.56,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,JHARSUGUDA,Arhar/Tur,2002-03,Kharif,650.0,Hectare,400.0,Tonnes,0.6153846153846154,28.087647058823528,740.09,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,JHARSUGUDA,Arhar/Tur,2003-04,Kharif,580.0,Hectare,370.0,Tonnes,0.6379310344827587,27.92947712418301,1594.61,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,KALAHANDI,Arhar/Tur,2001-02,Kharif,19700.0,Hectare,11960.0,Tonnes,0.6071065989847716,26.11555555555556,1115.46,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,KALAHANDI,Arhar/Tur,2002-03,Kharif,11640.0,Hectare,6820.0,Tonnes,0.5859106529209622,27.05509803921569,757.0,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,KALAHANDI,Arhar/Tur,2003-04,Kharif,18560.0,Hectare,14400.0,Tonnes,0.7758620689655172,27.276339869281045,1352.59,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,KANDHAMAL,Arhar/Tur,2001-02,Kharif,5250.0,Hectare,4350.0,Tonnes,0.8285714285714286,25.863496732026142,1585.41,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,KANDHAMAL,Arhar/Tur,2002-03,Kharif,5140.0,Hectare,4360.0,Tonnes,0.8482490272373541,26.48699346405229,1030.36,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,KANDHAMAL,Arhar/Tur,2003-04,Kharif,4910.0,Hectare,4350.0,Tonnes,0.8859470468431772,26.81081699346405,1659.89,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,KENDRAPARA,Arhar/Tur,2001-02,Kharif,20.0,Hectare,10.0,Tonnes,0.5,27.78055555555555,1679.59,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,KENDRAPARA,Arhar/Tur,2001-02,Rabi,80.0,Hectare,50.0,Tonnes,0.625,25.351491712707183,125.20000000000002,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,KENDRAPARA,Arhar/Tur,2002-03,Kharif,40.0,Hectare,40.0,Tonnes,1.0,28.148366013071893,1147.07,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,KENDRAPARA,Arhar/Tur,2003-04,Kharif,20.0,Hectare,20.0,Tonnes,1.0,28.53676470588235,1596.22,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,KENDUJHAR,Arhar/Tur,2001-02,Kharif,6250.0,Hectare,4340.0,Tonnes,0.6944,26.224183006535945,1447.36,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,KENDUJHAR,Arhar/Tur,2002-03,Kharif,5110.0,Hectare,3080.0,Tonnes,0.6027397260273972,26.70761437908497,987.02,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,KENDUJHAR,Arhar/Tur,2003-04,Kharif,7230.0,Hectare,5540.0,Tonnes,0.7662517289073306,27.121013071895437,1504.2199999999998,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,KHORDHA,Arhar/Tur,2001-02,Kharif,660.0,Hectare,360.0,Tonnes,0.5454545454545454,27.96545751633987,1732.36,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,KHORDHA,Arhar/Tur,2002-03,Kharif,710.0,Hectare,260.0,Tonnes,0.3661971830985915,28.32091503267974,1178.64,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,KHORDHA,Arhar/Tur,2002-03,Rabi,20.0,Hectare,10.0,Tonnes,0.5,25.390801104972372,90.7,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,KHORDHA,Arhar/Tur,2003-04,Kharif,770.0,Hectare,380.0,Tonnes,0.4935064935064935,28.520686274509803,1667.64,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,KORAPUT,Arhar/Tur,2001-02,Kharif,5460.0,Hectare,1930.0,Tonnes,0.3534798534798535,24.17751633986928,1150.9499999999998,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,KORAPUT,Arhar/Tur,2002-03,Kharif,5410.0,Hectare,1830.0,Tonnes,0.3382624768946395,24.731111111111108,854.63,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,KORAPUT,Arhar/Tur,2003-04,Kharif,5360.0,Hectare,2130.0,Tonnes,0.3973880597014925,25.24114379084968,1433.64,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,MALKANGIRI,Arhar/Tur,2001-02,Kharif,2980.0,Hectare,2260.0,Tonnes,0.7583892617449665,25.68803921568627,1045.2800000000002,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,MALKANGIRI,Arhar/Tur,2002-03,Kharif,1430.0,Hectare,460.0,Tonnes,0.3216783216783216,26.184281045751632,818.76,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,MALKANGIRI,Arhar/Tur,2003-04,Kharif,2340.0,Hectare,800.0,Tonnes,0.3418803418803419,26.54081699346405,1329.67,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,MAYURBHANJ,Arhar/Tur,2001-02,Kharif,6270.0,Hectare,5270.0,Tonnes,0.8405103668261563,27.654509803921563,1330.84,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,MAYURBHANJ,Arhar/Tur,2002-03,Kharif,5740.0,Hectare,4220.0,Tonnes,0.735191637630662,28.07754901960784,1019.7,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,MAYURBHANJ,Arhar/Tur,2003-04,Kharif,7100.0,Hectare,5330.0,Tonnes,0.7507042253521127,28.565,1241.92,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,NABARANGPUR,Arhar/Tur,2001-02,Kharif,4890.0,Hectare,3900.0,Tonnes,0.7975460122699386,24.17751633986928,1150.9499999999998,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,NABARANGPUR,Arhar/Tur,2002-03,Kharif,3380.0,Hectare,2350.0,Tonnes,0.6952662721893491,24.731111111111108,854.63,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,NABARANGPUR,Arhar/Tur,2003-04,Kharif,3910.0,Hectare,1880.0,Tonnes,0.4808184143222506,25.24114379084968,1433.64,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,NAYAGARH,Arhar/Tur,2001-02,Kharif,1390.0,Hectare,1780.0,Tonnes,1.2805755395683454,27.41009803921568,1643.25,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,NAYAGARH,Arhar/Tur,2002-03,Kharif,1280.0,Hectare,1550.0,Tonnes,1.2109375,27.877810457516343,1118.18,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,NAYAGARH,Arhar/Tur,2003-04,Kharif,1340.0,Hectare,820.0,Tonnes,0.6119402985074627,28.16732026143791,1629.94,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,NUAPADA,Arhar/Tur,2001-02,Kharif,8000.0,Hectare,3840.0,Tonnes,0.48,26.28454248366013,1164.07,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,NUAPADA,Arhar/Tur,2002-03,Kharif,5370.0,Hectare,2040.0,Tonnes,0.3798882681564245,27.46192810457516,749.0,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,NUAPADA,Arhar/Tur,2003-04,Kharif,8740.0,Hectare,3020.0,Tonnes,0.3455377574370709,27.50248366013072,1412.8000000000002,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,RAYAGADA,Arhar/Tur,2001-02,Kharif,19000.0,Hectare,12330.0,Tonnes,0.6489473684210526,24.300294117647056,975.98,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,RAYAGADA,Arhar/Tur,2002-03,Kharif,18540.0,Hectare,12890.0,Tonnes,0.6952535059331176,24.852908496732024,766.5899999999999,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,RAYAGADA,Arhar/Tur,2003-04,Kharif,18900.0,Hectare,17140.0,Tonnes,0.9068783068783068,25.24950980392157,1335.52,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,SAMBALPUR,Arhar/Tur,2001-02,Kharif,850.0,Hectare,610.0,Tonnes,0.7176470588235294,27.21676470588235,1325.66,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,SAMBALPUR,Arhar/Tur,2002-03,Kharif,1040.0,Hectare,670.0,Tonnes,0.6442307692307693,28.206078431372557,755.14,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,SAMBALPUR,Arhar/Tur,2003-04,Kharif,1070.0,Hectare,780.0,Tonnes,0.7289719626168224,28.14333333333333,1641.48,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,SONEPUR,Arhar/Tur,2001-02,Kharif,2340.0,Hectare,1170.0,Tonnes,0.5,27.2024183006536,1379.52,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,SONEPUR,Arhar/Tur,2002-03,Kharif,2010.0,Hectare,950.0,Tonnes,0.472636815920398,28.14666666666667,814.06,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,SONEPUR,Arhar/Tur,2003-04,Kharif,2080.0,Hectare,1260.0,Tonnes,0.6057692307692307,28.19807189542484,1650.7900000000002,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,SUNDARGARH,Arhar/Tur,2001-02,Kharif,6210.0,Hectare,2990.0,Tonnes,0.4814814814814814,27.07196078431372,1278.56,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,SUNDARGARH,Arhar/Tur,2002-03,Kharif,4160.0,Hectare,2100.0,Tonnes,0.5048076923076923,28.087647058823528,740.09,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,SUNDARGARH,Arhar/Tur,2003-04,Kharif,4270.0,Hectare,2480.0,Tonnes,0.5807962529274004,27.92947712418301,1594.61,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,GAJAPATI,Bajra,2001-02,Kharif,1170.0,Hectare,560.0,Tonnes,0.4786324786324786,27.01117647058824,1120.8200000000002,millets,19.171309192200557,3.479108635097493,17.83426183844011
Odisha,GAJAPATI,Bajra,2002-03,Kharif,1170.0,Hectare,540.0,Tonnes,0.4615384615384615,27.28330065359477,848.8,millets,19.171309192200557,3.479108635097493,17.83426183844011
Odisha,GAJAPATI,Bajra,2003-04,Kharif,1050.0,Hectare,480.0,Tonnes,0.4571428571428571,27.45911764705883,1380.04,millets,19.171309192200557,3.479108635097493,17.83426183844011
Odisha,GANJAM,Bajra,2001-02,Kharif,430.0,Hectare,300.0,Tonnes,0.6976744186046512,28.065882352941177,1518.27,millets,19.171309192200557,3.479108635097493,17.83426183844011
Odisha,GANJAM,Bajra,2002-03,Kharif,370.0,Hectare,180.0,Tonnes,0.4864864864864865,28.38686274509804,1066.4199999999998,millets,19.171309192200557,3.479108635097493,17.83426183844011
Odisha,GANJAM,Bajra,2003-04,Kharif,330.0,Hectare,200.0,Tonnes,0.6060606060606061,28.50702614379085,1574.7199999999998,millets,19.171309192200557,3.479108635097493,17.83426183844011
Odisha,KALAHANDI,Bajra,2001-02,Kharif,130.0,Hectare,80.0,Tonnes,0.6153846153846154,26.11555555555556,1115.46,millets,19.171309192200557,3.479108635097493,17.83426183844011
Odisha,KALAHANDI,Bajra,2002-03,Kharif,60.0,Hectare,40.0,Tonnes,0.6666666666666666,27.05509803921569,757.0,millets,19.171309192200557,3.479108635097493,17.83426183844011
Odisha,KALAHANDI,Bajra,2003-04,Kharif,70.0,Hectare,50.0,Tonnes,0.7142857142857143,27.276339869281045,1352.59,millets,19.171309192200557,3.479108635097493,17.83426183844011
Odisha,KANDHAMAL,Bajra,2001-02,Kharif,180.0,Hectare,60.0,Tonnes,0.3333333333333333,25.863496732026142,1585.41,millets,19.171309192200557,3.479108635097493,17.83426183844011
Odisha,KANDHAMAL,Bajra,2002-03,Kharif,210.0,Hectare,70.0,Tonnes,0.3333333333333333,26.48699346405229,1030.36,millets,19.171309192200557,3.479108635097493,17.83426183844011
Odisha,KANDHAMAL,Bajra,2003-04,Kharif,180.0,Hectare,60.0,Tonnes,0.3333333333333333,26.81081699346405,1659.89,millets,19.171309192200557,3.479108635097493,17.83426183844011
Odisha,KENDUJHAR,Bajra,2001-02,Kharif,210.0,Hectare,110.0,Tonnes,0.5238095238095238,26.224183006535945,1447.36,millets,19.171309192200557,3.479108635097493,17.83426183844011
Odisha,KENDUJHAR,Bajra,2002-03,Kharif,100.0,Hectare,50.0,Tonnes,0.5,26.70761437908497,987.02,millets,19.171309192200557,3.479108635097493,17.83426183844011
Odisha,KENDUJHAR,Bajra,2003-04,Kharif,70.0,Hectare,40.0,Tonnes,0.5714285714285714,27.121013071895437,1504.2199999999998,millets,19.171309192200557,3.479108635097493,17.83426183844011
Odisha,KORAPUT,Bajra,2001-02,Kharif,590.0,Hectare,340.0,Tonnes,0.576271186440678,24.17751633986928,1150.9499999999998,millets,19.171309192200557,3.479108635097493,17.83426183844011
Odisha,KORAPUT,Bajra,2002-03,Kharif,490.0,Hectare,270.0,Tonnes,0.5510204081632653,24.731111111111108,854.63,millets,19.171309192200557,3.479108635097493,17.83426183844011
Odisha,KORAPUT,Bajra,2003-04,Kharif,430.0,Hectare,240.0,Tonnes,0.5581395348837209,25.24114379084968,1433.64,millets,19.171309192200557,3.479108635097493,17.83426183844011
Odisha,MALKANGIRI,Bajra,2001-02,Kharif,470.0,Hectare,300.0,Tonnes,0.6382978723404256,25.68803921568627,1045.2800000000002,millets,19.171309192200557,3.479108635097493,17.83426183844011
Odisha,MALKANGIRI,Bajra,2002-03,Kharif,320.0,Hectare,180.0,Tonnes,0.5625,26.184281045751632,818.76,millets,19.171309192200557,3.479108635097493,17.83426183844011
Odisha,MALKANGIRI,Bajra,2003-04,Kharif,330.0,Hectare,180.0,Tonnes,0.5454545454545454,26.54081699346405,1329.67,millets,19.171309192200557,3.479108635097493,17.83426183844011
Odisha,MAYURBHANJ,Bajra,2001-02,Kharif,30.0,Hectare,10.0,Tonnes,0.3333333333333333,27.654509803921563,1330.84,millets,19.171309192200557,3.479108635097493,17.83426183844011
Odisha,MAYURBHANJ,Bajra,2002-03,Kharif,50.0,Hectare,20.0,Tonnes,0.4,28.07754901960784,1019.7,millets,19.171309192200557,3.479108635097493,17.83426183844011
Odisha,MAYURBHANJ,Bajra,2003-04,Kharif,60.0,Hectare,30.0,Tonnes,0.5,28.565,1241.92,millets,19.171309192200557,3.479108635097493,17.83426183844011
Odisha,NABARANGPUR,Bajra,2001-02,Kharif,200.0,Hectare,150.0,Tonnes,0.75,24.17751633986928,1150.9499999999998,millets,19.171309192200557,3.479108635097493,17.83426183844011
Odisha,NABARANGPUR,Bajra,2002-03,Kharif,140.0,Hectare,80.0,Tonnes,0.5714285714285714,24.731111111111108,854.63,millets,19.171309192200557,3.479108635097493,17.83426183844011
Odisha,NABARANGPUR,Bajra,2003-04,Kharif,70.0,Hectare,40.0,Tonnes,0.5714285714285714,25.24114379084968,1433.64,millets,19.171309192200557,3.479108635097493,17.83426183844011
Odisha,NAYAGARH,Bajra,2002-03,Kharif,150.0,Hectare,100.0,Tonnes,0.6666666666666666,27.877810457516343,1118.18,millets,19.171309192200557,3.479108635097493,17.83426183844011
Odisha,NUAPADA,Bajra,2003-04,Kharif,20.0,Hectare,10.0,Tonnes,0.5,27.50248366013072,1412.8000000000002,millets,19.171309192200557,3.479108635097493,17.83426183844011
Odisha,RAYAGADA,Bajra,2001-02,Kharif,600.0,Hectare,360.0,Tonnes,0.6,24.300294117647056,975.98,millets,19.171309192200557,3.479108635097493,17.83426183844011
Odisha,RAYAGADA,Bajra,2002-03,Kharif,660.0,Hectare,260.0,Tonnes,0.3939393939393939,24.852908496732024,766.5899999999999,millets,19.171309192200557,3.479108635097493,17.83426183844011
Odisha,RAYAGADA,Bajra,2003-04,Kharif,620.0,Hectare,370.0,Tonnes,0.5967741935483871,25.24950980392157,1335.52,millets,19.171309192200557,3.479108635097493,17.83426183844011
Odisha,SUNDARGARH,Bajra,2002-03,Kharif,40.0,Hectare,30.0,Tonnes,0.75,28.087647058823528,740.09,millets,19.171309192200557,3.479108635097493,17.83426183844011
Odisha,SUNDARGARH,Bajra,2003-04,Kharif,40.0,Hectare,20.0,Tonnes,0.5,27.92947712418301,1594.61,millets,19.171309192200557,3.479108635097493,17.83426183844011
Odisha,ANUGUL,Castor seed,2002-03,Kharif,70.0,Hectare,30.0,Tonnes,0.4285714285714285,27.538856209150325,1014.46,oil seeds,18.41209563994374,4.272855133614628,17.749648382559776
Odisha,ANUGUL,Castor seed,2002-03,Rabi,270.0,Hectare,140.0,Tonnes,0.5185185185185185,24.739337016574584,78.63000000000001,oil seeds,18.41209563994374,4.272855133614628,17.749648382559776
Odisha,ANUGUL,Castor seed,2003-04,Kharif,130.0,Hectare,60.0,Tonnes,0.4615384615384615,27.802450980392155,1638.73,oil seeds,18.41209563994374,4.272855133614628,17.749648382559776
Odisha,ANUGUL,Castor seed,2003-04,Rabi,510.0,Hectare,280.0,Tonnes,0.5490196078431373,23.30041208791209,130.66999999999996,oil seeds,18.41209563994374,4.272855133614628,17.749648382559776
Odisha,BALANGIR,Castor seed,2001-02,Kharif,380.0,Hectare,130.0,Tonnes,0.3421052631578947,26.299281045751638,1395.75,oil seeds,18.41209563994374,4.272855133614628,17.749648382559776
Odisha,BALANGIR,Castor seed,2001-02,Rabi,200.0,Hectare,80.0,Tonnes,0.4,24.256104972375688,99.86,oil seeds,18.41209563994374,4.272855133614628,17.749648382559776
Odisha,BALANGIR,Castor seed,2002-03,Kharif,570.0,Hectare,160.0,Tonnes,0.2807017543859649,27.117254901960788,874.9399999999999,oil seeds,18.41209563994374,4.272855133614628,17.749648382559776
Odisha,BALANGIR,Castor seed,2002-03,Rabi,120.0,Hectare,50.0,Tonnes,0.4166666666666667,25.273425414364645,67.82999999999998,oil seeds,18.41209563994374,4.272855133614628,17.749648382559776
Odisha,BALANGIR,Castor seed,2003-04,Kharif,670.0,Hectare,320.0,Tonnes,0.4776119402985074,27.333562091503268,1608.4700000000005,oil seeds,18.41209563994374,4.272855133614628,17.749648382559776
Odisha,BALANGIR,Castor seed,2003-04,Rabi,320.0,Hectare,160.0,Tonnes,0.5,23.126510989010992,134.35,oil seeds,18.41209563994374,4.272855133614628,17.749648382559776
Odisha,BALESHWAR,Castor seed,2001-02,Kharif,120.0,Hectare,60.0,Tonnes,0.5,27.87333333333333,1432.77,oil seeds,18.41209563994374,4.272855133614628,17.749648382559776
Odisha,BALESHWAR,Castor seed,2001-02,Rabi,150.0,Hectare,70.0,Tonnes,0.4666666666666667,24.92243093922652,136.41,oil seeds,18.41209563994374,4.272855133614628,17.749648382559776
Odisha,BALESHWAR,Castor seed,2002-03,Kharif,90.0,Hectare,50.0,Tonnes,0.5555555555555556,28.327222222222225,1052.77,oil seeds,18.41209563994374,4.272855133614628,17.749648382559776
Odisha,BALESHWAR,Castor seed,2002-03,Rabi,100.0,Hectare,40.0,Tonnes,0.4,24.577486187845302,146.66,oil seeds,18.41209563994374,4.272855133614628,17.749648382559776
